#  n     ΔE_n s10 [a.u.]     ΔE_n s21 [a.u.]     ΔE_n s45 [a.u.]     ΔE_n s97 [a.u.]    ΔE_n s206 [a.u.]    ΔE_n s440 [a.u.]    ΔE_n s938 [a.u.]   ΔE_n s2000 [a.u.]
 102                 NaN   3.500440400608E-4   1.171957187650E-4   1.541430819103E-6   3.095180350215E-8   1.446351080570E-9  7.177083233278E-11  3.463937470194E-12
 103                 NaN   3.193191460539E-4   1.122614621517E-4   1.493380791886E-6   2.900281551553E-8   1.356104907188E-9  6.768096673382E-11  3.268363010789E-12
 104                 NaN   2.900142251324E-4   1.070674801645E-4   1.440350607352E-6   2.707319726562E-8   1.265793249730E-9  6.359124858635E-11  3.072058232800E-12
 105                 NaN   2.619306350114E-4   1.015283405495E-4   1.378905401157E-6   2.517044227213E-8   1.175908433126E-9  5.950160850143E-11  2.874939869502E-12
 106                 NaN   2.357611822367E-4   9.575488359417E-5   1.311517444548E-6   2.330460425505E-8   1.087172369491E-9  5.541215750138E-11  2.671694462886E-12
 107                 NaN   2.115747797399E-4   8.971860029756E-5   1.239308842872E-6   2.147676067196E-8   1.000181392569E-9  5.131743641140E-11  2.473275056980E-12
 108                 NaN   1.888575983952E-4   8.344257046183E-5   1.160502167505E-6   1.967990469805E-8  9.152580733238E-10  4.723369178422E-11  2.279408432837E-12
 109                 NaN   1.671553608815E-4   7.696665416343E-5   1.076600385474E-6   1.790601217126E-8  8.323862207144E-10  4.314477941580E-11  2.084922512413E-12
 110                 NaN   1.471153187424E-4   7.028381246804E-5   9.889209526028E-7   1.615039518961E-8  7.513086021371E-10  3.905049113934E-11  1.884126535345E-12
 111                 NaN   1.288500443708E-4   6.343031546926E-5   8.969672761604E-7   1.441145130489E-8  6.716369561205E-10  3.496732070563E-11  1.688173038861E-12
 112                 NaN   1.112756739472E-4   5.642165304681E-5   8.007754843777E-7   1.268850205807E-8  5.928897529178E-10  3.087327702517E-11  1.485931169776E-12
 113                 NaN   6.373426026609E-5   1.206006939539E-3   4.945132229398E-7   7.599448302630E-9  3.584596642951E-10  1.860308174867E-11  8.967759260875E-13
 114                 NaN                 NaN   9.902966527370E-4   3.880068631498E-7   5.921798416865E-9  2.800850349175E-10  1.451512987496E-11  7.025576951800E-13
